"run","randomSeed","numTanksBlue","default_observer_minPycor","default_observer_maxPycor","numSoldierBlue","default_observer_maxPxcor","numRidersBlue","default_observer_minPxcor","numTanksRed","numRidersRed","numSoldierRed"
90,-2057701551,0,-16,16,10,16,0,-16,0,20,20
91,-2057701426,0,-16,16,10,16,0,-16,10,0,0
92,-2057701317,0,-16,16,10,16,0,-16,10,0,10
93,-2057701176,0,-16,16,10,16,0,-16,10,0,20
94,-2057700942,0,-16,16,10,16,0,-16,10,10,0
95,-2057700723,0,-16,16,10,16,0,-16,10,10,10
96,-2057700551,0,-16,16,10,16,0,-16,10,10,20
97,-2057700442,0,-16,16,10,16,0,-16,10,20,0
98,-2057700317,0,-16,16,10,16,0,-16,10,20,10
99,-2057700192,0,-16,16,10,16,0,-16,10,20,20
100,-2057700020,0,-16,16,10,16,0,-16,20,0,0
101,-2057699864,0,-16,16,10,16,0,-16,20,0,10
102,-2057699660,0,-16,16,10,16,0,-16,20,0,20
103,-2057699520,0,-16,16,10,16,0,-16,20,10,0
104,-2057699301,0,-16,16,10,16,0,-16,20,10,10
105,-2057699129,0,-16,16,10,16,0,-16,20,10,20
106,-2057698973,0,-16,16,10,16,0,-16,20,20,0
107,-2057698879,0,-16,16,10,16,0,-16,20,20,10
108,-2057698801,0,-16,16,10,16,0,-16,20,20,20
109,-2057698598,0,-16,16,10,16,10,-16,0,0,0
110,-2057698442,0,-16,16,10,16,10,-16,0,0,10
111,-2057698239,0,-16,16,10,16,10,-16,0,0,20
112,-2057698114,0,-16,16,10,16,10,-16,0,10,0
113,-2057697832,0,-16,16,10,16,10,-16,0,10,10
114,-2057697379,0,-16,16,10,16,10,-16,0,10,20
115,-2057697207,0,-16,16,10,16,10,-16,0,20,0
116,-2057697082,0,-16,16,10,16,10,-16,0,20,10
117,-2057696879,0,-16,16,10,16,10,-16,0,20,20
118,-2057696707,0,-16,16,10,16,10,-16,10,0,0
119,-2057696536,0,-16,16,10,16,10,-16,10,0,10
120,-2057696442,0,-16,16,10,16,10,-16,10,0,20
121,-2057696286,0,-16,16,10,16,10,-16,10,10,0
122,-2057696051,0,-16,16,10,16,10,-16,10,10,10
123,-2057695911,0,-16,16,10,16,10,-16,10,10,20
124,-2057695723,0,-16,16,10,16,10,-16,10,20,0
125,-2057695598,0,-16,16,10,16,10,-16,10,20,10
126,-2057695426,0,-16,16,10,16,10,-16,10,20,20
127,-2057695270,0,-16,16,10,16,10,-16,20,0,0
128,-2057695098,0,-16,16,10,16,10,-16,20,0,10
129,-2057694957,0,-16,16,10,16,10,-16,20,0,20
130,-2057694817,0,-16,16,10,16,10,-16,20,10,0
131,-2057694598,0,-16,16,10,16,10,-16,20,10,10
132,-2057694457,0,-16,16,10,16,10,-16,20,10,20
133,-2057694270,0,-16,16,10,16,10,-16,20,20,0
134,-2057694176,0,-16,16,10,16,10,-16,20,20,10
135,-2057694067,0,-16,16,10,16,10,-16,20,20,20
136,-2057693911,0,-16,16,10,16,20,-16,0,0,0
137,-2057693786,0,-16,16,10,16,20,-16,0,0,10
138,-2057693567,0,-16,16,10,16,20,-16,0,0,20
139,-2057693442,0,-16,16,10,16,20,-16,0,10,0
140,-2057693301,0,-16,16,10,16,20,-16,0,10,10
141,-2057693192,0,-16,16,10,16,20,-16,0,10,20
142,-2057692926,0,-16,16,10,16,20,-16,0,20,0
143,-2057692770,0,-16,16,10,16,20,-16,0,20,10
144,-2057692614,0,-16,16,10,16,20,-16,0,20,20
145,-2057692473,0,-16,16,10,16,20,-16,10,0,0
146,-2057692364,0,-16,16,10,16,20,-16,10,0,10
147,-2057692207,0,-16,16,10,16,20,-16,10,0,20
148,-2057692051,0,-16,16,10,16,20,-16,10,10,0
149,-2057691895,0,-16,16,10,16,20,-16,10,10,10
150,-2057691629,0,-16,16,10,16,20,-16,10,10,20
151,-2057691473,0,-16,16,10,16,20,-16,10,20,0
152,-2057691286,0,-16,16,10,16,20,-16,10,20,10
153,-2057691161,0,-16,16,10,16,20,-16,10,20,20
154,-2057691036,0,-16,16,10,16,20,-16,20,0,0
155,-2057690832,0,-16,16,10,16,20,-16,20,0,10
156,-2057690692,0,-16,16,10,16,20,-16,20,0,20
157,-2057690598,0,-16,16,10,16,20,-16,20,10,0
158,-2057690395,0,-16,16,10,16,20,-16,20,10,10
159,-2057690207,0,-16,16,10,16,20,-16,20,10,20
160,-2057690098,0,-16,16,10,16,20,-16,20,20,0
161,-2057690004,0,-16,16,10,16,20,-16,20,20,10
162,-2057689879,0,-16,16,10,16,20,-16,20,20,20
163,-2057689707,0,-16,16,20,16,0,-16,0,0,0
164,-2057689536,0,-16,16,20,16,0,-16,0,0,10
165,-2057689411,0,-16,16,20,16,0,-16,0,0,20
166,-2057689207,0,-16,16,20,16,0,-16,0,10,0
167,-2057689004,0,-16,16,20,16,0,-16,0,10,10
168,-2057688817,0,-16,16,20,16,0,-16,0,10,20
169,-2057688692,0,-16,16,20,16,0,-16,0,20,0
170,-2057688504,0,-16,16,20,16,0,-16,0,20,10
171,-2057688379,0,-16,16,20,16,0,-16,0,20,20
172,-2057688270,0,-16,16,20,16,0,-16,10,0,0
173,-2057688176,0,-16,16,20,16,0,-16,10,0,10
174,-2057688082,0,-16,16,20,16,0,-16,10,0,20
175,-2057687895,0,-16,16,20,16,0,-16,10,10,0
176,-2057687723,0,-16,16,20,16,0,-16,10,10,10
177,-2057687598,0,-16,16,20,16,0,-16,10,10,20
178,-2057687457,0,-16,16,20,16,0,-16,10,20,0
179,-2057687207,0,-16,16,20,16,0,-16,10,20,10
180,-2057687004,0,-16,16,20,16,0,-16,10,20,20
181,-2057686879,0,-16,16,20,16,0,-16,20,0,0
182,-2057686786,0,-16,16,20,16,0,-16,20,0,10
183,-2057686614,0,-16,16,20,16,0,-16,20,0,20
184,-2057686520,0,-16,16,20,16,0,-16,20,10,0
185,-2057686379,0,-16,16,20,16,0,-16,20,10,10
186,-2057686286,0,-16,16,20,16,0,-16,20,10,20
187,-2057686067,0,-16,16,20,16,0,-16,20,20,0
188,-2057685879,0,-16,16,20,16,0,-16,20,20,10
189,-2057685692,0,-16,16,20,16,0,-16,20,20,20
190,-2057685442,0,-16,16,20,16,10,-16,0,0,0
191,-2057685332,0,-16,16,20,16,10,-16,0,0,10
192,-2057685223,0,-16,16,20,16,10,-16,0,0,20
193,-2057685067,0,-16,16,20,16,10,-16,0,10,0
194,-2057684926,0,-16,16,20,16,10,-16,0,10,10
195,-2057684754,0,-16,16,20,16,10,-16,0,10,20
196,-2057684582,0,-16,16,20,16,10,-16,0,20,0
197,-2057684457,0,-16,16,20,16,10,-16,0,20,10
198,-2057684364,0,-16,16,20,16,10,-16,0,20,20
199,-2057684161,0,-16,16,20,16,10,-16,10,0,0
200,-2057684036,0,-16,16,20,16,10,-16,10,0,10
201,-2057683895,0,-16,16,20,16,10,-16,10,0,20
202,-2057683770,0,-16,16,20,16,10,-16,10,10,0
203,-2057683536,0,-16,16,20,16,10,-16,10,10,10
204,-2057683364,0,-16,16,20,16,10,-16,10,10,20
205,-2057683239,0,-16,16,20,16,10,-16,10,20,0
206,-2057683129,0,-16,16,20,16,10,-16,10,20,10
207,-2057682973,0,-16,16,20,16,10,-16,10,20,20
208,-2057682848,0,-16,16,20,16,10,-16,20,0,0
209,-2057682692,0,-16,16,20,16,10,-16,20,0,10
210,-2057682551,0,-16,16,20,16,10,-16,20,0,20
211,-2057682411,0,-16,16,20,16,10,-16,20,10,0
212,-2057682239,0,-16,16,20,16,10,-16,20,10,10
213,-2057682067,0,-16,16,20,16,10,-16,20,10,20
214,-2057681957,0,-16,16,20,16,10,-16,20,20,0
215,-2057681786,0,-16,16,20,16,10,-16,20,20,10
216,-2057681614,0,-16,16,20,16,10,-16,20,20,20
217,-2057681457,0,-16,16,20,16,20,-16,0,0,0
218,-2057681270,0,-16,16,20,16,20,-16,0,0,10
219,-2057681098,0,-16,16,20,16,20,-16,0,0,20
220,-2057680911,0,-16,16,20,16,20,-16,0,10,0
221,-2057680786,0,-16,16,20,16,20,-16,0,10,10
222,-2057680645,0,-16,16,20,16,20,-16,0,10,20
223,-2057680473,0,-16,16,20,16,20,-16,0,20,0
224,-2057680254,0,-16,16,20,16,20,-16,0,20,10
225,-2057680129,0,-16,16,20,16,20,-16,0,20,20
226,-2057679942,0,-16,16,20,16,20,-16,10,0,0
227,-2057679817,0,-16,16,20,16,20,-16,10,0,10
228,-2057679629,0,-16,16,20,16,20,-16,10,0,20
229,-2057679520,0,-16,16,20,16,20,-16,10,10,0
230,-2057679395,0,-16,16,20,16,20,-16,10,10,10
231,-2057679270,0,-16,16,20,16,20,-16,10,10,20
232,-2057679176,0,-16,16,20,16,20,-16,10,20,0
233,-2057678989,0,-16,16,20,16,20,-16,10,20,10
234,-2057678879,0,-16,16,20,16,20,-16,10,20,20
235,-2057678754,0,-16,16,20,16,20,-16,20,0,0
236,-2057678645,0,-16,16,20,16,20,-16,20,0,10
237,-2057678489,0,-16,16,20,16,20,-16,20,0,20
238,-2057678285,0,-16,16,20,16,20,-16,20,10,0
239,-2057678020,0,-16,16,20,16,20,-16,20,10,10
240,-2057677832,0,-16,16,20,16,20,-16,20,10,20
241,-2057677723,0,-16,16,20,16,20,-16,20,20,0
242,-2057677567,0,-16,16,20,16,20,-16,20,20,10
243,-2057677426,0,-16,16,20,16,20,-16,20,20,20
244,-2057677270,10,-16,16,0,16,0,-16,0,0,0
245,-2057677129,10,-16,16,0,16,0,-16,0,0,10
246,-2057676973,10,-16,16,0,16,0,-16,0,0,20
247,-2057676848,10,-16,16,0,16,0,-16,0,10,0
248,-2057676692,10,-16,16,0,16,0,-16,0,10,10
249,-2057676614,10,-16,16,0,16,0,-16,0,10,20
250,-2057676408,10,-16,16,0,16,0,-16,0,20,0
251,-2057676236,10,-16,16,0,16,0,-16,0,20,10
252,-2057676048,10,-16,16,0,16,0,-16,0,20,20
253,-2057675908,10,-16,16,0,16,0,-16,10,0,0
254,-2057675752,10,-16,16,0,16,0,-16,10,0,10
255,-2057675627,10,-16,16,0,16,0,-16,10,0,20
256,-2057675377,10,-16,16,0,16,0,-16,10,10,0
257,-2057675189,10,-16,16,0,16,0,-16,10,10,10
258,-2057675048,10,-16,16,0,16,0,-16,10,10,20
259,-2057674877,10,-16,16,0,16,0,-16,10,20,0
260,-2057674783,10,-16,16,0,16,0,-16,10,20,10
261,-2057674674,10,-16,16,0,16,0,-16,10,20,20
262,-2057674564,10,-16,16,0,16,0,-16,20,0,0
263,-2057674392,10,-16,16,0,16,0,-16,20,0,10
264,-2057674236,10,-16,16,0,16,0,-16,20,0,20
265,-2057673955,10,-16,16,0,16,0,-16,20,10,0
266,-2057673830,10,-16,16,0,16,0,-16,20,10,10
267,-2057673627,10,-16,16,0,16,0,-16,20,10,20
268,-2057673533,10,-16,16,0,16,0,-16,20,20,0
269,-2057673392,10,-16,16,0,16,0,-16,20,20,10
270,-2057673205,10,-16,16,0,16,0,-16,20,20,20
271,-2057673064,10,-16,16,0,16,10,-16,0,0,0
272,-2057672877,10,-16,16,0,16,10,-16,0,0,10
273,-2057672736,10,-16,16,0,16,10,-16,0,0,20
274,-2057672580,10,-16,16,0,16,10,-16,0,10,0
275,-2057672392,10,-16,16,0,16,10,-16,0,10,10
276,-2057672283,10,-16,16,0,16,10,-16,0,10,20
277,-2057672142,10,-16,16,0,16,10,-16,0,20,0
278,-2057672048,10,-16,16,0,16,10,-16,0,20,10
279,-2057671923,10,-16,16,0,16,10,-16,0,20,20
280,-2057671798,10,-16,16,0,16,10,-16,10,0,0
281,-2057671627,10,-16,16,0,16,10,-16,10,0,10
282,-2057671486,10,-16,16,0,16,10,-16,10,0,20
283,-2057671298,10,-16,16,0,16,10,-16,10,10,0
284,-2057671158,10,-16,16,0,16,10,-16,10,10,10
285,-2057670970,10,-16,16,0,16,10,-16,10,10,20
286,-2057670861,10,-16,16,0,16,10,-16,10,20,0
287,-2057670689,10,-16,16,0,16,10,-16,10,20,10
288,-2057670533,10,-16,16,0,16,10,-16,10,20,20
289,-2057670314,10,-16,16,0,16,10,-16,20,0,0
290,-2057670142,10,-16,16,0,16,10,-16,20,0,10
291,-2057669939,10,-16,16,0,16,10,-16,20,0,20
292,-2057669830,10,-16,16,0,16,10,-16,20,10,0
293,-2057669689,10,-16,16,0,16,10,-16,20,10,10
294,-2057669533,10,-16,16,0,16,10,-16,20,10,20
295,-2057669392,10,-16,16,0,16,10,-16,20,20,0
296,-2057669283,10,-16,16,0,16,10,-16,20,20,10
297,-2057669142,10,-16,16,0,16,10,-16,20,20,20
298,-2057668955,10,-16,16,0,16,20,-16,0,0,0
299,-2057668814,10,-16,16,0,16,20,-16,0,0,10
300,-2057668658,10,-16,16,0,16,20,-16,0,0,20
301,-2057668423,10,-16,16,0,16,20,-16,0,10,0
302,-2057668220,10,-16,16,0,16,20,-16,0,10,10
303,-2057668064,10,-16,16,0,16,20,-16,0,10,20
304,-2057667908,10,-16,16,0,16,20,-16,0,20,0
305,-2057667752,10,-16,16,0,16,20,-16,0,20,10
306,-2057667564,10,-16,16,0,16,20,-16,0,20,20
307,-2057667423,10,-16,16,0,16,20,-16,10,0,0
308,-2057667189,10,-16,16,0,16,20,-16,10,0,10
309,-2057667064,10,-16,16,0,16,20,-16,10,0,20
310,-2057666877,10,-16,16,0,16,20,-16,10,10,0
311,-2057666705,10,-16,16,0,16,20,-16,10,10,10
312,-2057666502,10,-16,16,0,16,20,-16,10,10,20
313,-2057666299,10,-16,16,0,16,20,-16,10,20,0
314,-2057666220,10,-16,16,0,16,20,-16,10,20,10
315,-2057666080,10,-16,16,0,16,20,-16,10,20,20
316,-2057665939,10,-16,16,0,16,20,-16,20,0,0
317,-2057665752,10,-16,16,0,16,20,-16,20,0,10
318,-2057665611,10,-16,16,0,16,20,-16,20,0,20
319,-2057665470,10,-16,16,0,16,20,-16,20,10,0
320,-2057665314,10,-16,16,0,16,20,-16,20,10,10
321,-2057665111,10,-16,16,0,16,20,-16,20,10,20
322,-2057664939,10,-16,16,0,16,20,-16,20,20,0
323,-2057664548,10,-16,16,0,16,20,-16,20,20,10
324,-2057664439,10,-16,16,0,16,20,-16,20,20,20
325,-2057664252,10,-16,16,10,16,0,-16,0,0,0
326,-2057664033,10,-16,16,10,16,0,-16,0,0,10
327,-2057663908,10,-16,16,10,16,0,-16,0,0,20
328,-2057663767,10,-16,16,10,16,0,-16,0,10,0
329,-2057663627,10,-16,16,10,16,0,-16,0,10,10
330,-2057663517,10,-16,16,10,16,0,-16,0,10,20
331,-2057663283,10,-16,16,10,16,0,-16,0,20,0
332,-2057663127,10,-16,16,10,16,0,-16,0,20,10
333,-2057663002,10,-16,16,10,16,0,-16,0,20,20
334,-2057662799,10,-16,16,10,16,0,-16,10,0,0
335,-2057662611,10,-16,16,10,16,0,-16,10,0,10
336,-2057662486,10,-16,16,10,16,0,-16,10,0,20
337,-2057662330,10,-16,16,10,16,0,-16,10,10,0
338,-2057662252,10,-16,16,10,16,0,-16,10,10,10
339,-2057662127,10,-16,16,10,16,0,-16,10,10,20
340,-2057662064,10,-16,16,10,16,0,-16,10,20,0
341,-2057661861,10,-16,16,10,16,0,-16,10,20,10
342,-2057661720,10,-16,16,10,16,0,-16,10,20,20
343,-2057661533,10,-16,16,10,16,0,-16,20,0,0
344,-2057661377,10,-16,16,10,16,0,-16,20,0,10
345,-2057661252,10,-16,16,10,16,0,-16,20,0,20
